Borough,Business Type,Rank,Confidence,Tier,Population
Wandsworth,Gym / Fitness,3,93.5,Competitive,1629
Barking and Dagenham,Bakery,1,89.3,Strong Recommend,1362
Barnet,Bakery,1,95.3,Prime Location,938
Barnet,Bakery,2,92.1,Strong Recommend,812
Barnet,Bakery,3,91.8,Strong Recommend,431
Bexley,Bakery,1,93.4,Strong Recommend,773
Bexley,Bakery,2,93.2,Strong Recommend,654
Bexley,Bakery,3,91.6,Strong Recommend,787
Brent,Bakery,1,96.3,Prime Location,858
Brent,Bakery,2,95.5,Strong Recommend,1158
Brent,Bakery,3,95.4,Prime Location,842
Bromley,Bakery,1,95.0,Prime Location,488
Bromley,Bakery,2,94.6,Strong Recommend,358
Bromley,Bakery,3,94.2,Viable,1579
Camden,Bakery,1,97.3,Competitive,1126
Camden,Bakery,2,96.0,Prime Location,1059
Camden,Bakery,3,95.1,Competitive,2468
City of London,Bakery,1,95.4,Competitive,3955
City of London,Bakery,2,95.3,Competitive,3201
City of London,Bakery,3,93.9,Competitive,2734
City of Westminster,Bakery,1,96.6,Strong Recommend,3639
City of Westminster,Bakery,2,96.3,Competitive,3402
City of Westminster,Bakery,3,96.1,Competitive,4750
Croydon,Bakery,1,95.6,Viable,2367
Croydon,Bakery,2,95.5,Prime Location,711
Croydon,Bakery,3,94.2,Strong Recommend,846
Ealing,Bakery,1,96.6,Prime Location,809
Ealing,Bakery,2,95.6,Prime Location,988
Ealing,Bakery,3,95.0,Strong Recommend,808
Enfield,Bakery,1,95.5,Prime Location,529
Enfield,Bakery,2,89.8,Strong Recommend,687
Enfield,Bakery,3,88.9,Strong Recommend,782
Greenwich,Bakery,1,93.0,Strong Recommend,1110
Greenwich,Bakery,2,92.4,Viable,1035
Greenwich,Bakery,3,91.6,Strong Recommend,811
Hackney,Bakery,1,96.7,Competitive,2205
Hackney,Bakery,2,95.3,Prime Location,1923
Hackney,Bakery,3,95.3,Prime Location,1587
Hammersmith and Fulham,Bakery,1,96.6,Strong Recommend,1088
Hammersmith and Fulham,Bakery,2,96.0,Prime Location,2028
Hammersmith and Fulham,Bakery,3,95.4,Viable,1244
Haringey,Bakery,1,96.2,Competitive,1044
Haringey,Bakery,2,95.7,Competitive,1312
Haringey,Bakery,3,95.6,Prime Location,907
Harrow,Bakery,1,90.6,Strong Recommend,607
Harrow,Bakery,2,90.4,Strong Recommend,638
Harrow,Bakery,3,89.5,Strong Recommend,743
Havering,Bakery,1,92.8,Strong Recommend,759
Havering,Bakery,2,89.9,Strong Recommend,1065
Havering,Bakery,3,88.6,Strong Recommend,447
Hillingdon,Bakery,1,95.4,Prime Location,666
Hillingdon,Bakery,2,92.9,Strong Recommend,657
Hillingdon,Bakery,3,89.4,Strong Recommend,465
Hounslow,Bakery,1,96.0,Prime Location,986
Hounslow,Bakery,2,93.8,Viable,1286
Hounslow,Bakery,3,91.6,Strong Recommend,471
Islington,Bakery,1,95.7,Prime Location,2689
Islington,Bakery,2,95.7,Prime Location,1133
Islington,Bakery,3,95.7,Competitive,1682
Kensington and Chelsea,Bakery,1,96.4,Viable,2072
Kensington and Chelsea,Bakery,2,96.2,Competitive,993
Kensington and Chelsea,Bakery,3,93.4,Competitive,1647
Kingston upon Thames,Bakery,1,94.8,Strong Recommend,1697
Kingston upon Thames,Bakery,2,90.1,Strong Recommend,2255
Kingston upon Thames,Bakery,3,89.8,Strong Recommend,830
Lambeth,Bakery,1,96.9,Prime Location,1889
Lambeth,Bakery,2,95.3,Competitive,1752
Lambeth,Bakery,3,92.5,Strong Recommend,1364
Lewisham,Bakery,1,95.7,Prime Location,623
Lewisham,Bakery,2,95.3,Prime Location,816
Lewisham,Bakery,3,95.1,Viable,764
Merton,Bakery,1,93.6,Strong Recommend,957
Merton,Bakery,2,91.4,Strong Recommend,1115
Merton,Bakery,3,89.2,Strong Recommend,685
Newham,Bakery,1,97.1,Strong Recommend,1060
Newham,Bakery,2,95.9,Competitive,1522
Newham,Bakery,3,95.1,Prime Location,1541
Redbridge,Bakery,1,95.9,Prime Location,612
Redbridge,Bakery,2,94.0,Strong Recommend,858
Redbridge,Bakery,3,93.7,Strong Recommend,1280
Richmond upon Thames,Bakery,1,95.9,Prime Location,991
Richmond upon Thames,Bakery,2,95.6,Prime Location,426
Richmond upon Thames,Bakery,3,94.4,Viable,752
Southwark,Bakery,1,95.0,Prime Location,1439
Southwark,Bakery,2,94.9,Strong Recommend,951
Southwark,Bakery,3,94.3,Competitive,806
Sutton,Bakery,1,92.9,Strong Recommend,2123
Sutton,Bakery,2,90.8,Strong Recommend,439
Sutton,Bakery,3,90.5,Strong Recommend,719
Tower Hamlets,Bakery,1,96.2,Strong Recommend,2980
Tower Hamlets,Bakery,2,95.3,Viable,2553
Tower Hamlets,Bakery,3,93.2,Strong Recommend,1351
Waltham Forest,Bakery,1,98.2,Viable,1696
Waltham Forest,Bakery,2,96.1,Prime Location,991
Waltham Forest,Bakery,3,95.6,Prime Location,541
Wandsworth,Bakery,1,93.0,Strong Recommend,1778
Wandsworth,Bakery,2,92.9,Strong Recommend,1138
Wandsworth,Bakery,3,90.7,Strong Recommend,611
